block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
268015773,2024-10-27 00:01:39,SWAP,0xed710ad6b0392062e85055610b2b2824bca9047c997884e29fb61c66a3c49d01,16,57,,0x6f1fe5b048de0417c4e838b1fc4245aaf254f1dc,0x51c72848c68a965f66fa7a88855f9f7784502a7f,3403825483756893696,-8437865736,5595776230775053765,0,3945611059713308345684261,-198160.0,,,,
268015787,2024-10-27 00:01:43,SWAP,0x55f0ddbbf2d70fdb5fdb6cea50d85ff901257db5b13a2b0ec4223a875ce54701,4,19,,0x6f1fe5b048de0417c4e838b1fc4245aaf254f1dc,0x51c72848c68a965f66fa7a88855f9f7784502a7f,4223509946214728704,-10469098817,5448711145721628796,0,3945461107100716806574168,-198161.0,,,,
268015787,2024-10-27 00:01:43,SWAP,0x67e7326257b1ce941bfde2b83484a9045a4932003203ec9bf29c5ad7173ef306,11,51,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4700192f8a4a00f009d87a515ff2d13e5cab8364,2118832700506300636,-5251790886,5448711145721628796,0,3945384742299808127375287,-198161.0,,,,
268015788,2024-10-27 00:01:43,SWAP,0x612999a64deb127608f622bb94cfbf4fbb130c03038dfdb38ba98bf2422c5c35,8,19,,0xe3be1402bdc62d1e4ff4d5658129c5f82745fbad,0x975580eb2b1473ac0b9fdf9f5eec9c26c04a3f76,3043000000000000000,-7542099069,5448711145721628796,0,3945275074777564870866696,-198162.0,,,,
268015789,2024-10-27 00:01:43,SWAP,0x98f39391c7f5b3511b2fbe96c9d93101a9e170cca1a04baa4fed4cfcb76bb849,7,31,,0x05063bb35876cb2321c9237e8e66931857d431a5,0x44c6c4c7da174f47ac81e818d55c02600390e79d,1410000000000000000,-3494553772,5448711145721628796,0,3945224261462859633591691,-198162.0,,,,
268015791,2024-10-27 00:01:44,BURN,0xf9b907f1ebb9524e2261b13d46da52bc893a9af74d6b96dd908b85886134e23c,6,35,,0xf829c130478599e4ef49f6e02edaa1f8736e9b00,,6038983673166053165,0,5448711145721628796,0,3945224261462859633591691,-198162.0,,-198150.0,-198140.0,601958669273464721
268015791,2024-10-27 00:01:44,COLLECT,0xf9b907f1ebb9524e2261b13d46da52bc893a9af74d6b96dd908b85886134e23c,6,38,,0xf829c130478599e4ef49f6e02edaa1f8736e9b00,0xf829c130478599e4ef49f6e02edaa1f8736e9b00,6039103256766824466,296869,5448711145721628796,0,3945224261462859633591691,-198162.0,,-198150.0,-198140.0,
268015791,2024-10-27 00:01:44,MINT,0xf9b907f1ebb9524e2261b13d46da52bc893a9af74d6b96dd908b85886134e23c,6,40,,0xf829c130478599e4ef49f6e02edaa1f8736e9b00,,6039103256766824471,0,5448711145721628796,0,3945224261462859633591691,-198162.0,,-198160.0,-198150.0,601669694203666629
268015796,2024-10-27 00:01:45,SWAP,0x5c7ef99fbfedccb4472f9fac4a0bfad7467592e1a86d7d83deaf7221699c3a13,6,20,,0xe3be1402bdc62d1e4ff4d5658129c5f82745fbad,0x975580eb2b1473ac0b9fdf9f5eec9c26c04a3f76,1539400000000000000,-3815156843,5448711145721628796,0,3945168786349879320952960,-198162.0,,,,
268015796,2024-10-27 00:01:45,SWAP,0x8f694a8cb638d61ba8c9a7a9ee3cb11acc7be19459d29dbb66d143d1dcbe01a6,7,24,,0xe3be1402bdc62d1e4ff4d5658129c5f82745fbad,0x975580eb2b1473ac0b9fdf9f5eec9c26c04a3f76,1073700000000000000,-2660930316,5448711145721628796,0,3945130094517277626878808,-198163.0,,,,
268015797,2024-10-27 00:01:45,SWAP,0x1043557a2756744ffc8a7fec5e8a0732f28eef82fe4192c904f3d7d3f73dfaea,2,7,,0x6f1fe5b048de0417c4e838b1fc4245aaf254f1dc,0x51c72848c68a965f66fa7a88855f9f7784502a7f,97977633279139410,-242813508,5448711145721628796,0,3945126563834951370055220,-198163.0,,,,
268015814,2024-10-27 00:01:49,SWAP,0xe684d436429dd0841550999898fe30ee3e8823a7735697652da11b6259f9f38f,1,3,,0xb7bff85e602be0edb6c49d865ae7796dcff6ae9e,0xb7bff85e602be0edb6c49d865ae7796dcff6ae9e,-8255625896519427,20480000,5448711145721628796,0,3945126861479922544829871,-198163.0,,,,
268016025,2024-10-27 00:02:42,SWAP,0x14dec56572888dd046498b4867649b77c8ac46696f127b947c030f8f42e2c724,1,30,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,12895434597629096323,-31954380932,5448711145721628796,0,3944662221894922918433126,-198165.0,,,,
268016028,2024-10-27 00:02:43,SWAP,0xef63de7af0ed3b6298f583c993ae8965d73cec8f09b2778387421ded709f6d70,6,3,,0xf518022a7e0a1c0d7a4b4a50ed300cb962fcff68,0xf518022a7e0a1c0d7a4b4a50ed300cb962fcff68,-24192094962517058,60000000,5448711145721628796,0,3944663093901674407030736,-198165.0,,,,
268016033,2024-10-27 00:02:44,SWAP,0x5caf674a8bdf8787b627196b81bc47ae0698e85022450e91ac8de84de0f29fa3,4,12,,0x0bb74646aa90ec78d2208a9d46089f2b0a459c59,0x0bb74646aa90ec78d2208a9d46089f2b0a459c59,-146872356594859694,364265897,5448711145721628796,0,3944668387940365675685418,-198165.0,,,,
268016097,2024-10-27 00:03:00,MINT,0x03df6d9daf32d7940d634f584506b0f14651bd0cbf1cb0f124cb97ae6fb68e05,1,3,5.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,2999999798688668,2927426,5448919381143575010,208235421946214,3944668387940365675685418,-198165.0,3764576.0,-198170.0,-198150.0,208235421946214
268016172,2024-10-27 00:03:19,SWAP,0xb9b0f5da7886069a3cb7fa351cb733f7152d80d7e0bfa0ec3647b640aa62d9da,5,16,,0xe592427a0aece92de3edee1f18e0157c05861564,0x0ae1b2730066ad46481ab0a5fd2b5893f8aba323,-96648117015101739,239702639,5448919381143575010,0,3944671871512548766537307,-198165.0,,,,
268016328,2024-10-27 00:03:59,SWAP,0x3e27df9e9922dc5bd965f869e8169b500d0dace024b308973f3cf0be43d6449f,1,13,,0x9d3fbdb90c41d9aaa2100148c5c69d65bcae6fb0,0x9d3fbdb90c41d9aaa2100148c5c69d65bcae6fb0,-144213143135196216,357672225,5448919381143575010,0,3944677069523798530089618,-198165.0,,,,
268016331,2024-10-27 00:04:00,SWAP,0xd4d3d8a61c4279105fdf30f7890b75166f746b095117686f409d6fe9a5639b01,1,6,,0xe592427a0aece92de3edee1f18e0157c05861564,0x0ae1b2730066ad46481ab0a5fd2b5893f8aba323,100000000000000000,-247768530,5448919381143575010,0,3944673466929587997323698,-198165.0,,,,
268016339,2024-10-27 00:04:02,BURN,0xadfa66583287e51264da38ca39b4abd898da7cab787369ac8dfb143142f195ee,1,0,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,5448919381143575010,0,3944673466929587997323698,-198165.0,,-198050.0,-196850.0,0
268016339,2024-10-27 00:04:02,COLLECT,0xadfa66583287e51264da38ca39b4abd898da7cab787369ac8dfb143142f195ee,1,1,2.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9fbbb8752e8ddf6cfc4a7b57912b08fc6c3d1b96,0,0,5448919381143575010,0,3944673466929587997323698,-198165.0,3764564.0,-198050.0,-196850.0,
268016423,2024-10-27 00:04:23,SWAP,0x9ff4361b8922f15aac226e27cb04d42b5addf46411fbafdb24d0a1462d9f807f,4,7,,0x5e325eda8064b456f4781070c0738d849c824258,0x7bfe20d25e87fb5b8ff08c51b2843a5ac2110360,-1189670565076659,2950578,5448919381143575010,0,3944673509809992425033113,-198165.0,,,,
268016436,2024-10-27 00:04:26,BURN,0xc5b49a496258219baee86fa5beb4bf9708fc76b18b5b7a09f88f9ee981cc7e78,2,0,1.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,58307225597598806,0,5448919381143575010,0,3944673509809992425033113,-198165.0,3728245.0,-197820.0,-197220.0,99937547832501
268016436,2024-10-27 00:04:26,COLLECT,0xc5b49a496258219baee86fa5beb4bf9708fc76b18b5b7a09f88f9ee981cc7e78,2,4,5.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,58508912181703219,477204,5448919381143575010,0,3944673509809992425033113,-198165.0,3728245.0,-197820.0,-197220.0,
268016517,2024-10-27 00:04:46,SWAP,0x50ad81a17b16b5ae351b86b5f5eea478143ecf3d909d2e4bb2ea9e67ce9a236a,2,4,,0x5e325eda8064b456f4781070c0738d849c824258,0x5e325eda8064b456f4781070c0738d849c824258,-80639813436284115,200000000,5448919381143575010,0,3944676416388082276960967,-198165.0,,,,
268016596,2024-10-27 00:05:07,SWAP,0x9ea044164251fdc320c2f43c4dd0934396264bbcf6f886e45b2ede794c5abe71,1,13,,0x9d3fbdb90c41d9aaa2100148c5c69d65bcae6fb0,0x9d3fbdb90c41d9aaa2100148c5c69d65bcae6fb0,-164746470940917933,408599260,5448919381143575010,0,3944682354516360125657725,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,26,,0xe592427a0aece92de3edee1f18e0157c05861564,0x9d621a452e49f85e31bdc3de39c637fa2c502b79,-69891341419658,173343,5448919381143575010,0,3944682357035530178361004,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,47,,0xe592427a0aece92de3edee1f18e0157c05861564,0x9d621a452e49f85e31bdc3de39c637fa2c502b79,-6036466455869,14972,5448919381143575010,0,3944682357253109140524807,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,67,,0xe592427a0aece92de3edee1f18e0157c05861564,0x63c39484c95b1401344bf39e00f99c5282646814,116732093400062,-289226,5448919381143575010,0,3944682353047710391231865,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,86,,0xe592427a0aece92de3edee1f18e0157c05861564,0x5f89f391a415bcaf1ec6e6aa9a9f99003ab384bd,52668306838005,-130495,5448919381143575010,0,3944682351150278203477291,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,119,,0xe592427a0aece92de3edee1f18e0157c05861564,0x4558f967b45312086e337e4d28b1fceb3f34b7db,1755015794161,-4348,5448919381143575010,0,3944682351087051879030518,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,143,,0xe592427a0aece92de3edee1f18e0157c05861564,0x56ca6d0715deed1e2d3e46090266695a5b374dfd,17527358976537,-43427,5448919381143575010,0,3944682350455609991819042,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,176,,0xe592427a0aece92de3edee1f18e0157c05861564,0x1fba76f2348abf42aa1a659b4d396a9a08aff110,-528423978898719,1310584,5448919381143575010,0,3944682369502173393937882,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,193,,0xe592427a0aece92de3edee1f18e0157c05861564,0x3ecb93822035e322c7d45842be4c17a4c02e7a94,453772590059290,-1124309,5448919381143575010,0,3944682353154529544734989,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,220,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe0449ab87048be6982f25b66fe1a03a084e14904,-431768307067524,1070861,5448919381143575010,0,3944682368717226863498194,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,245,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe0449ab87048be6982f25b66fe1a03a084e14904,-133603412003069,331360,5448919381143575010,0,3944682373532840789913498,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,269,,0xe592427a0aece92de3edee1f18e0157c05861564,0x0aa4b06fc4eeefccb8e594fed5aa98caff68b7a8,-178934999082524,443790,5448919381143575010,0,3944682379982390715673577,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,297,,0xe592427a0aece92de3edee1f18e0157c05861564,0x86354a64f940e4e1091ae4321eab0dbcadb97c07,108622543754673,-269133,5448919381143575010,0,3944682376069147136777122,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,387,,0xe592427a0aece92de3edee1f18e0157c05861564,0x61ad034bde8a5526aa56aa85ad2365f015cd511a,86492374966703,-214301,5448919381143575010,0,3944682372953166616902170,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,447,,0xe592427a0aece92de3edee1f18e0157c05861564,0xec784d4bd2e7362e6421d30a875eecda1175c306,-257308615706264,638171,5448919381143575010,0,3944682382227622550819839,-198165.0,,,,
268016628,2024-10-27 00:05:15,SWAP,0x2e8e1ecd5b8d77c06391c2171e14af04ed1a120e5507129e0628c434d4442abc,2,464,,0xe592427a0aece92de3edee1f18e0157c05861564,0x6e3aefc0b97a13eb425ba15da5d4c6d05b197081,210966313342420,-522710,5448919381143575010,0,3944682374627334961501512,-198165.0,,,,
268016646,2024-10-27 00:05:19,SWAP,0x0e4860ba2659e58df318b475c9e2c34f44e99f6b56517a3f758dd160774a8920,1,17,,0xe592427a0aece92de3edee1f18e0157c05861564,0xc6c47c466f260a70c204d33d9d028d7693ae1a51,-1014460764172897,2516040,5448919381143575010,0,3944682411192654398099415,-198165.0,,,,
268016646,2024-10-27 00:05:19,SWAP,0x0e4860ba2659e58df318b475c9e2c34f44e99f6b56517a3f758dd160774a8920,1,32,,0xe592427a0aece92de3edee1f18e0157c05861564,0x0d94ee097bc9a1caa56284ee18286343f1149dfb,899602595143388,-2228940,5448919381143575010,0,3944682378783506282126757,-198165.0,,,,
268016646,2024-10-27 00:05:19,SWAP,0x0e4860ba2659e58df318b475c9e2c34f44e99f6b56517a3f758dd160774a8920,1,68,,0xe592427a0aece92de3edee1f18e0157c05861564,0x134fb3376d18317ffc8933d8357f7f2e82a93457,-5756103910001,14277,5448919381143575010,0,3944682378990979832722540,-198165.0,,,,
268016646,2024-10-27 00:05:19,SWAP,0x0e4860ba2659e58df318b475c9e2c34f44e99f6b56517a3f758dd160774a8920,1,93,,0xe592427a0aece92de3edee1f18e0157c05861564,0x63c39484c95b1401344bf39e00f99c5282646814,206815422673908,-512425,5448919381143575010,0,3944682371540232541343397,-198165.0,,,,
268016646,2024-10-27 00:05:19,SWAP,0x0e4860ba2659e58df318b475c9e2c34f44e99f6b56517a3f758dd160774a8920,1,120,,0xe592427a0aece92de3edee1f18e0157c05861564,0x71cc05139eed1e39fa69f8d42fe312d36775b3a2,-153703586304736,381212,5448919381143575010,0,3944682377080339046463313,-198165.0,,,,
268016646,2024-10-27 00:05:19,SWAP,0x0e4860ba2659e58df318b475c9e2c34f44e99f6b56517a3f758dd160774a8920,1,148,,0xe592427a0aece92de3edee1f18e0157c05861564,0xcaea707c12420b9b70856a19f90b2f9e5bf57688,120521378832593,-298615,5448919381143575010,0,3944682372738427185548100,-198165.0,,,,
268016646,2024-10-27 00:05:19,SWAP,0x0e4860ba2659e58df318b475c9e2c34f44e99f6b56517a3f758dd160774a8920,1,248,,0xe592427a0aece92de3edee1f18e0157c05861564,0x63c39484c95b1401344bf39e00f99c5282646814,179352852604109,-444381,5448919381143575010,0,3944682366277048437469537,-198165.0,,,,
268016662,2024-10-27 00:05:23,SWAP,0xfd83840575ad3b74d82d8ded6f31f7dc30276a021c711607caa46d03cad1d50d,1,75,,0xe592427a0aece92de3edee1f18e0157c05861564,0x9b4c580a3003c3e5c4f55e9f07cb3e7053cbc59d,-117584831251760,291631,5448919381143575010,0,3944682370515287129417957,-198165.0,,,,
268016774,2024-10-27 00:05:51,BURN,0x9a00e7a22964fac8f3156176c43f8b73649091814e35e972622cf5abc038f289,2,2,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,5448919381143575010,0,3944682370515287129417957,-198165.0,,-198050.0,-196850.0,0
268016774,2024-10-27 00:05:51,COLLECT,0x9a00e7a22964fac8f3156176c43f8b73649091814e35e972622cf5abc038f289,2,3,4.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x6db48d2b127b857ddc3e3016a9507b3f91613a9b,0,0,5448919381143575010,0,3944682370515287129417957,-198165.0,3764565.0,-198050.0,-196850.0,
